x(m),y(m),z(m),Serving_PCI,Serving_RSRP(dBm),Serving_SINR(dB),Detected_PCI,Detected_RSRP(dBm),Detected_SINR(dB)
375.22,2248.57,75,2,-77.58,17.78,,,
576.72,2251.47,75,2,-87.45,18.93,,,
980.39,2256.85,75,8,-90.75,10.28,,,
-230.74,2258.45,75,1,-82.01,13.89,,,
173.65,2259.5,75,8,-85.47,13.05,,,
-163.42,2260.01,75,1,-87.06,15.84,,,
-32.86,2261.11,75,1,-77.62,14.09,,,
777.76,2263.29,75,2,-82.41,17.04,,,
375.25,2263.57,75,2,-79.31,17.31,,,
-163.92,2263.66,75,1,-77.63,11.61,,,
-164.15,2263.86,75,1,-77.76,11.97,,,
-163.86,2265.43,75,1,-82.59,17.46,,,
-163.51,2266.24,75,1,-89.16,12.05,,,
576.71,2266.36,75,2,-88.59,14.46,,,
-164.74,2267.09,75,1,-77.08,11.68,,,
-163.74,2267.17,75,2,-91.05,11.42,,,
980.38,2271.8,75,8,-89.56,5.95,,,
-230.71,2273.32,75,1,-86.18,8.33,,,
-165.62,2273.36,75,1,-77.25,13.96,,,
173.63,2274.44,75,8,-83.84,-1.79,,,
-32.79,2275.97,75,1,-76.91,13.71,,,
777.78,2278.28,75,2,-83.84,16.84,,,
375.27,2278.53,75,2,-78.75,17.26,,,
576.72,2281.27,75,2,-92.62,11.38,,,
-166.34,2281.53,75,1,-79.76,15.53,,,
980.39,2286.73,75,13,-90.79,2.69,,,
-230.65,2288.27,75,1,-83.13,12.43,,,
173.58,2289.34,75,8,-84.91,-3.19,,,
-166.83,2290.78,75,1,-76.69,14.88,,,
-32.74,2290.8,75,1,-76.65,13.11,,,
777.8,2293.26,75,2,-83.48,16.19,,,
375.32,2293.48,75,2,-78.68,19.54,,,
576.75,2296.18,75,2,-89.45,14.8,,,
-167.5,2301.58,75,1,-75.22,14.23,,,
-230.62,2303.19,75,1,-83.91,10.66,,,
173.55,2304.26,75,8,-83.54,2.22,,,
777.82,2308.14,75,2,-84.15,13.84,,,
375.35,2308.45,75,2,-78.77,18.47,,,
576.75,2311.13,75,2,-89.69,14.52,,,
-168.43,2314.18,75,1,-75.19,14.78,,,
980.43,2316.55,75,13,-88.69,5.5,,,
-230.58,2318.11,75,1,-84.94,10.84,,,
173.54,2319.2,75,8,-85.27,10.89,,,
-32.66,2320.5,75,1,-77.0,13.48,,,
